sample_id,dataset,difficulty,request,gold_action,gold_arguments,action_name,action_arguments,action_valid,action_correct,action_error_type,action_error_message,estimated_prompt_tokens,runner_prompt_tokens,target_output_tokens,seq_len,generated_tokens,decode_tokens_per_second,ttft_ms,inference_ms,model_load_ms,returncode,output_path,log_path,error
w3v2_001,tiny_schema_v2,medium,I'm done checking email; please launch the Calculator app so I can work out some expenses.,open_app,"{""app_name"": ""Calculator""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),630,744,391,1024,19,21.7391,1558,2432,990,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_001/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_001/run.log,
w3v2_002,tiny_schema_v2,medium,"Rather than searching the web, go straight to https://weather.example.com in the browser.",open_url,"{""url"": ""https://weather.example.com""}",open_url,"{""url"": ""https://weather.example.com""}",True,True,none,,629,745,392,1024,19,21.814,1539,2410,999,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_002/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_002/run.log,
w3v2_003,tiny_schema_v2,hard,"Start the Calendar app—actually, I need Calculator instead. Open that app.",open_app,"{""app_name"": ""Calculator""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),627,741,394,1024,18,22.1675,1540,2352,999,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_003/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_003/run.log,
w3v2_004,tiny_schema_v2,medium,"Look up battery health tips on the web, show five results, and keep Safe Search enabled.",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",True,True,none,,630,744,391,1024,25,22.1239,1530,2660,981,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_004/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_004/run.log,
w3v2_005,tiny_schema_v2,medium,"Look through my contacts for Alice Chen; include everyone, not only favorites.",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",search_contacts,"{""keyword"": ""Alice Chen""}",False,False,wrong_argument,"argument keys mismatch for search_contacts; missing=['favorites_only', 'name'], extra=['keyword']",626,740,395,1024,13,22.1843,1559,2145,989,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_005/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_005/run.log,
w3v2_006,tiny_schema_v2,medium,"During the next fourteen days, check my calendar for entries containing Project review.",search_calendar,"{""days_ahead"": 14, ""keyword"": ""Project review""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),626,740,395,1024,23,21.9048,1538,2588,987,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_006/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_006/run.log,
w3v2_007,tiny_schema_v2,hard,"Find public web pages about Alice Chen biography. Safe Search can be off, and I only want three results.",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",True,True,none,,633,747,388,1024,25,22.0264,1551,2686,981,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_007/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_007/run.log,
w3v2_008,tiny_schema_v2,hard,"Find Bob Wang in my contacts—sorry, I meant Robert Wang—and restrict the search to favorites.",search_contacts,"{""favorites_only"": true, ""name"": ""Robert Wang""}",search_contacts,"{""keyword"": ""Robert Wang"", ""max_results"": 1, ""result_limit"": 1, ""safe_search"": true, ""visible_only"": false}",False,False,wrong_argument,"argument keys mismatch for search_contacts; missing=['favorites_only', 'name'], extra=['keyword', 'max_results', 'result_limit', 'safe_search', 'visible_only']",631,746,390,1024,36,21.9646,1561,3200,987,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_008/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_008/run.log,
w3v2_009,tiny_schema_v2,medium,"My inbox is messy, but ignore the email for now and search the next thirty days of my calendar for dentist.",search_calendar,"{""days_ahead"": 30, ""keyword"": ""dentist""}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 28 (char 27)",634,748,387,1024,15,21.8341,1557,2244,977,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_009/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_009/run.log,
w3v2_010,tiny_schema_v2,medium,"In the app store, look for a photo editor; return at most six results and show free apps only.",search_app_store,"{""app_query"": ""photo editor"", ""free_only"": true, ""max_results"": 6}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),633,747,388,1024,34,22.1498,1542,3077,989,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_010/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_010/run.log,
w3v2_011,tiny_schema_v2,hard,"Search the app store for weather apps, including paid ones. I first thought ten results, but use four, and change the search phrase to radar weather.",search_app_store,"{""app_query"": ""radar weather"", ""free_only"": false, ""max_results"": 4}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),642,756,379,1024,60,22.0832,1500,4217,987,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_011/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_011/run.log,
w3v2_012,tiny_schema_v2,medium,Locate the Continue button on the current screen and consider only elements that are visible.,find_ui_element,"{""description"": ""Continue button"", ""visible_only"": true}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),628,742,393,1024,27,30.1676,1545,2440,1001,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_012/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_012/run.log,
w3v2_013,tiny_schema_v2,medium,Double-click the item whose element id is result_42.,click_element,"{""click_count"": 2, ""element_id"": ""result_42""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),623,738,398,1024,18,22.1948,1460,2271,988,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_013/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_013/run.log,
w3v2_014,tiny_schema_v2,hard,"Click confirm_old once—wait, the correct element id is confirm_new. Use a single click.",click_element,"{""click_count"": 1, ""element_id"": ""confirm_new""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),631,747,390,1024,19,21.94,1561,2427,977,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_014/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_014/run.log,
w3v2_015,tiny_schema_v2,medium,"Clear whatever is currently in the field, then enter the text meeting moved to room 302.",type_text,"{""replace_existing"": true, ""text"": ""meeting moved to room 302""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),630,744,391,1024,29,22.0365,1543,2859,979,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_015/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_015/run.log,
w3v2_016,tiny_schema_v2,hard,"Without clearing the existing content, type shipping address—no, make the new text billing address.",type_text,"{""replace_existing"": false, ""text"": ""billing address""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),630,744,391,1024,31,22.0484,1523,2929,1050,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_016/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_016/run.log,
w3v2_017,tiny_schema_v2,hard,"Wake me at half past seven every weekday, call the alarm Morning run, and do not use vibration.",set_alarm,"{""label"": ""Morning run"", ""repeat_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time"": ""07:30"", ""vibrate"": false}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 34 (char 33)",632,746,389,1024,277,22.8397,1563,13691,971,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_017/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_017/run.log,
w3v2_018,tiny_schema_v2,hard,"With vibration enabled, create a Yoga alarm for quarter to nine in the morning on Saturdays and Sundays.",set_alarm,"{""label"": ""Yoga"", ""repeat_days"": [""Sat"", ""Sun""], ""time"": ""08:45"", ""vibrate"": true}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),631,745,390,1024,60,21.9218,1538,4275,985,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_018/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_018/run.log,
