model_family,model_id,model_role,runtime,device,device_soc,source_commit,config_path,quantization_method,group_size,tokenizer,chat_template,context_length,support_status,evidence,notes
BitNet,microsoft/bitnet-b1.58-2B-4T,small,T-MAN,device_1,SM8750,7042f8f73330bd083bc1e4bc5ccb3f88a4904aee,t-man/README.md,T-MAN native per-tensor,NA,checkpoint,checkpoint,4096,not_tested,official_model_candidate,"T-MAN README supports BitNet and build docs map SM8750 to htp_v79; no PACE run evidence yet."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,ExecuTorch-QNN,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,4096,not_tested,no_official_conversion_verified,"Must attempt ordinary QNN conversion separately from T-MAN."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,T-MAC,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,4096,not_tested,paper_baseline_only,"T-MAN paper uses T-MAC as a baseline but PACE build support remains unverified."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,llm.npu,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,4096,not_tested,no_support_evidence_collected,"Do not infer support from model family."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,T-MAN,device_1,SM8750,7042f8f73330bd083bc1e4bc5ccb3f88a4904aee,t-man/README.md,GPTQ v2 W2 asymmetric,64,checkpoint,checkpoint,40960,not_tested,official_model_candidate,"T-MAN README links the exact checkpoint; conversion and device run still required."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,ExecuTorch-QNN,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,40960,not_tested,no_official_conversion_verified,"W2G64 GPTQ may be runtime-incompatible with ordinary QNN; attempt and retain evidence."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,T-MAC,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,40960,not_tested,paper_baseline_only,"Exact end-to-end preparation path must be verified at a fixed T-MAC commit."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,llm.npu,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,40960,not_tested,no_support_evidence_collected,"Attempt required by PACE large-model matrix."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,T-MAN,device_1,SM8750,7042f8f73330bd083bc1e4bc5ccb3f88a4904aee,t-man/README.md,GPTQ v2 W2 asymmetric,64,checkpoint,checkpoint,131072,not_tested,official_model_candidate,"T-MAN README links the exact checkpoint; conversion and device run still required."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,ExecuTorch-QNN,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,131072,not_tested,no_official_conversion_verified,"PACE requires a real attempt; reduced context must be labeled separately."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,T-MAC,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,131072,not_tested,paper_baseline_only,"Exact end-to-end preparation path must be verified at a fixed T-MAC commit."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,llm.npu,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,131072,not_tested,no_support_evidence_collected,"Attempt required by PACE large-model matrix."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,T-MAN,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,not_a_tman_paper_model,"Only use if a fixed T-MAN commit supplies a verified conversion path."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,ExecuTorch-QNN,device_1,SM8750,NA,code/run_w2_reasoning_config.json,"existing recipe identity unverified",NA,checkpoint,checkpoint,32768,not_tested,pilot_code_configured,"Existing code targets this model, but old result logs were intentionally not used and artifact identity is not reproducible yet."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,T-MAC,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,no_support_evidence_collected,"Candidate same-model comparison only after checkpoint and quantization alignment."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,llm.npu,device_1,SM8750,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,no_support_evidence_collected,"Candidate same-model comparison only after checkpoint and quantization alignment."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,T-MAN,device_2,TBD,7042f8f73330bd083bc1e4bc5ccb3f88a4904aee,t-man/README.md,T-MAN native per-tensor,NA,checkpoint,checkpoint,4096,not_tested,device_unspecified,"Fill device and SoC before build."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,ExecuTorch-QNN,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,4096,not_tested,device_unspecified,"Fill device and SoC before build."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,T-MAC,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,4096,not_tested,device_unspecified,"Fill device and SoC before build."
BitNet,microsoft/bitnet-b1.58-2B-4T,small,llm.npu,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,4096,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,T-MAN,device_2,TBD,7042f8f73330bd083bc1e4bc5ccb3f88a4904aee,t-man/README.md,GPTQ v2 W2 asymmetric,64,checkpoint,checkpoint,40960,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,ExecuTorch-QNN,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,40960,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,T-MAC,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,40960,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,BitDistiller/Qwen-8B-w2g64-gptq,large,llm.npu,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,40960,not_tested,device_unspecified,"Fill device and SoC before build."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,T-MAN,device_2,TBD,7042f8f73330bd083bc1e4bc5ccb3f88a4904aee,t-man/README.md,GPTQ v2 W2 asymmetric,64,checkpoint,checkpoint,131072,not_tested,device_unspecified,"Fill device and SoC before build."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,ExecuTorch-QNN,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,131072,not_tested,device_unspecified,"Fill device and SoC before build."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,T-MAC,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,131072,not_tested,device_unspecified,"Fill device and SoC before build."
Llama3,BitDistiller/Llama-3.1-8B-Instruct-w2g64-gptq,large,llm.npu,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,131072,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,T-MAN,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,ExecuTorch-QNN,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,T-MAC,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,device_unspecified,"Fill device and SoC before build."
Qwen,Qwen/Qwen2.5-3B-Instruct,medium_anchor,llm.npu,device_2,TBD,NA,NA,TBD,NA,checkpoint,checkpoint,32768,not_tested,device_unspecified,"Fill device and SoC before build."
