sample_id,dataset,difficulty,request,gold_action,gold_arguments,action_name,action_arguments,action_valid,action_correct,action_error_type,action_error_message,estimated_prompt_tokens,seq_len_prompt_tokens,prompt_token_source,runner_prompt_tokens,target_output_tokens,seq_len,generated_tokens,decode_tokens_per_second,ttft_ms,inference_ms,model_load_ms,returncode,output_path,log_path,error
w3v2_001,tiny_schema_v2,medium,I'm done checking email; please launch the Calculator app so I can work out some expenses.,open_app,"{""app_name"": ""Calculator""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),630,744,previous_runner_observation,744,96,841,19,20.6522,1679,2599,1029,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_001/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_001.log,
w3v2_002,tiny_schema_v2,medium,"Rather than searching the web, go straight to https://weather.example.com in the browser.",open_url,"{""url"": ""https://weather.example.com""}",open_url,"{""url"": ""https://weather.example.com""}",True,True,none,,629,745,previous_runner_observation,745,96,842,19,20.5405,1680,2605,982,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_002/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_002.log,
w3v2_003,tiny_schema_v2,hard,"Start the Calendar app—actually, I need Calculator instead. Open that app.",open_app,"{""app_name"": ""Calculator""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),627,741,previous_runner_observation,741,96,838,18,20.4313,1692,2573,1082,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_003/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_003.log,
w3v2_004,tiny_schema_v2,medium,"Look up battery health tips on the web, show five results, and keep Safe Search enabled.",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",True,True,none,,630,744,previous_runner_observation,744,96,841,25,20.3915,1678,2904,1040,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_004/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_004.log,
w3v2_005,tiny_schema_v2,medium,"Look through my contacts for Alice Chen; include everyone, not only favorites.",search_contacts,"{""favorites_only"": false, ""name"": ""Alice Chen""}",search_contacts,"{""keyword"": ""Alice Chen""}",False,False,wrong_argument,"argument keys mismatch for search_contacts; missing=['favorites_only', 'name'], extra=['keyword']",626,740,previous_runner_observation,740,96,837,13,20.4082,1680,2317,1019,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_005/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_005.log,
w3v2_006,tiny_schema_v2,medium,"During the next fourteen days, check my calendar for entries containing Project review.",search_calendar,"{""days_ahead"": 14, ""keyword"": ""Project review""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),626,740,previous_runner_observation,740,96,837,23,20.2822,1676,2810,1043,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_006/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_006.log,
w3v2_007,tiny_schema_v2,hard,"Find public web pages about Alice Chen biography. Safe Search can be off, and I only want three results.",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",search_web,"{""query"": ""Alice Chen biography"", ""result_limit"": 3, ""safe_search"": false}",True,True,none,,633,747,previous_runner_observation,747,96,844,25,20.4248,1469,2693,973,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_007/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_007.log,
w3v2_008,tiny_schema_v2,hard,"Find Bob Wang in my contacts—sorry, I meant Robert Wang—and restrict the search to favorites.",search_contacts,"{""favorites_only"": true, ""name"": ""Robert Wang""}",search_contacts,"{""keyword"": ""Robert Wang"", ""max_results"": 1, ""result_limit"": 1, ""safe_search"": true, ""visible_only"": false}",False,False,wrong_argument,"argument keys mismatch for search_contacts; missing=['favorites_only', 'name'], extra=['keyword', 'max_results', 'result_limit', 'safe_search', 'visible_only']",631,746,previous_runner_observation,746,96,843,36,20.4662,1663,3422,1030,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_008/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_008.log,
w3v2_009,tiny_schema_v2,medium,"My inbox is messy, but ignore the email for now and search the next thirty days of my calendar for dentist.",search_calendar,"{""days_ahead"": 30, ""keyword"": ""dentist""}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 28 (char 27)",634,748,previous_runner_observation,748,96,845,15,20.2703,1682,2422,1089,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_009/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_009.log,
w3v2_010,tiny_schema_v2,medium,"In the app store, look for a photo editor; return at most six results and show free apps only.",search_app_store,"{""app_query"": ""photo editor"", ""free_only"": true, ""max_results"": 6}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),633,747,previous_runner_observation,747,96,844,34,20.4327,1578,3242,994,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_010/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_010.log,
